task_id,repository_folder,model,run_name,prompt_version,exact_name_match,substring_name_match,name_token_f1,description_token_f1,parse_error,runtime_error,pred_use_case_name,gold_use_case_name
usecase_v1_0000,jobic10__student-management-using-django,granite-code:3b,user_goal_v4_scale_family,user_goal_v4,0,0,0.0,0.0,Expecting value: line 1 column 1 (char 0),,,Manage staff
usecase_v1_0001,jobic10__student-management-using-django,granite-code:3b,user_goal_v4_scale_family,user_goal_v4,0,0,0.0,0.0,Expecting property name enclosed in double quotes: line 2 column 9 (char 10),,,Manage students
usecase_v1_0002,jobic10__student-management-using-django,granite-code:3b,user_goal_v4_scale_family,user_goal_v4,0,0,0.0,0.0,Expecting property name enclosed in double quotes: line 1 column 2 (char 1),,,Manage courses
usecase_v1_0003,jobic10__student-management-using-django,granite-code:3b,user_goal_v4_scale_family,user_goal_v4,0,0,0.0,0.0,Expecting property name enclosed in double quotes: line 2 column 9 (char 10),,,Manage subjects
usecase_v1_0004,jobic10__student-management-using-django,granite-code:3b,user_goal_v4_scale_family,user_goal_v4,0,0,0.0,0.0,Expecting property name enclosed in double quotes: line 1 column 2 (char 1),,,Manage academic sessions
usecase_v1_0005,jobic10__student-management-using-django,granite-code:3b,user_goal_v4_scale_family,user_goal_v4,0,0,0.0,0.0,Expecting property name enclosed in double quotes: line 2 column 9 (char 10),,,Take student attendance
usecase_v1_0006,jobic10__student-management-using-django,granite-code:3b,user_goal_v4_scale_family,user_goal_v4,0,0,0.0,0.0,Expecting value: line 1 column 1 (char 0),,,Update student attendance
usecase_v1_0007,jobic10__student-management-using-django,granite-code:3b,user_goal_v4_scale_family,user_goal_v4,0,0,0.0,0.0,Expecting property name enclosed in double quotes: line 2 column 9 (char 10),,,Add or update student result
usecase_v1_0008,jobic10__student-management-using-django,granite-code:3b,user_goal_v4_scale_family,user_goal_v4,0,0,0.0,0.0,Expecting property name enclosed in double quotes: line 2 column 9 (char 10),,,Apply for leave
usecase_v1_0009,jobic10__student-management-using-django,granite-code:3b,user_goal_v4_scale_family,user_goal_v4,0,0,0.0,0.0,Expecting property name enclosed in double quotes: line 2 column 13 (char 14),,,View attendance
usecase_v1_0010,jobic10__student-management-using-django,granite-code:3b,user_goal_v4_scale_family,user_goal_v4,0,0,0.0,0.0,Expecting property name enclosed in double quotes: line 2 column 8 (char 9),,,View result
usecase_v1_0011,jobic10__student-management-using-django,granite-code:3b,user_goal_v4_scale_family,user_goal_v4,0,0,0.0,0.0,Expecting property name enclosed in double quotes: line 2 column 9 (char 10),,,Review leave applications
usecase_v1_0012,jobic10__student-management-using-django,granite-code:3b,user_goal_v4_scale_family,user_goal_v4,0,0,0.0,0.0,Expecting property name enclosed in double quotes: line 2 column 9 (char 10),,,Reply to feedback
usecase_v1_0013,thakurpdhiraj__library_management_system,granite-code:3b,user_goal_v4_scale_family,user_goal_v4,0,0,0.2222,0.2857,,,Save a new book,Add book and create inventory
usecase_v1_0014,thakurpdhiraj__library_management_system,granite-code:3b,user_goal_v4_scale_family,user_goal_v4,0,0,0.0,0.1739,,,Create/Add/Register/Save Book,Search and update books
usecase_v1_0015,thakurpdhiraj__library_management_system,granite-code:3b,user_goal_v4_scale_family,user_goal_v4,0,0,0.5714,0.2,,,Delete a book,Delete book or inventory
usecase_v1_0016,thakurpdhiraj__library_management_system,granite-code:3b,user_goal_v4_scale_family,user_goal_v4,0,0,0.0,0.16,,,Create/Add/Register/Save user,Manage users
usecase_v1_0017,thakurpdhiraj__library_management_system,granite-code:3b,user_goal_v4_scale_family,user_goal_v4,0,0,0.25,0.2,,,Create/Add/Register/Save Book,Order available book
usecase_v1_0018,thakurpdhiraj__library_management_system,granite-code:3b,user_goal_v4_scale_family,user_goal_v4,0,0,0.3333,0.3529,,,View book detail,View current orders
usecase_v1_0019,thakurpdhiraj__library_management_system,granite-code:3b,user_goal_v4_scale_family,user_goal_v4,0,0,0.6667,0.2,,,View order detail,View order history
usecase_v1_0020,thakurpdhiraj__library_management_system,granite-code:3b,user_goal_v4_scale_family,user_goal_v4,0,0,0.4,0.2609,,,Manage orders,Filter overdue orders
usecase_v1_0021,thakurpdhiraj__library_management_system,granite-code:3b,user_goal_v4_scale_family,user_goal_v4,0,0,0.2857,0.2308,,,Find orders by user ID,Search orders
usecase_v1_0022,thakurpdhiraj__library_management_system,granite-code:3b,user_goal_v4_scale_family,user_goal_v4,0,0,0.0,0.3125,,,Find orders,Mark order as collected
usecase_v1_0023,thakurpdhiraj__library_management_system,granite-code:3b,user_goal_v4_scale_family,user_goal_v4,0,0,0.0,0.2564,,,Find orders,Mark order as returned and generate invoice
usecase_v1_0024,thakurpdhiraj__library_management_system,granite-code:3b,user_goal_v4_scale_family,user_goal_v4,0,0,0.0,0.0,Expecting property name enclosed in double quotes: line 1 column 2 (char 1),,,Authenticate and access role-based views
usecase_v1_0025,abdulwahid880__School-Management-system-in-laravel-,granite-code:3b,user_goal_v4_scale_family,user_goal_v4,0,0,0.0,0.1053,,,Create/Add/Register/Save student,Manage schools
usecase_v1_0026,abdulwahid880__School-Management-system-in-laravel-,granite-code:3b,user_goal_v4_scale_family,user_goal_v4,0,0,0.25,0.0833,,,Create/Add/Register/Save student,Register school users
usecase_v1_0027,abdulwahid880__School-Management-system-in-laravel-,granite-code:3b,user_goal_v4_scale_family,user_goal_v4,0,0,0.0,0.0476,,,Create/Add/Register/Save student,Manage classes and sections
usecase_v1_0028,abdulwahid880__School-Management-system-in-laravel-,granite-code:3b,user_goal_v4_scale_family,user_goal_v4,0,0,0.0,0.3704,,,View attendances of students in a section,Take attendance
usecase_v1_0029,abdulwahid880__School-Management-system-in-laravel-,granite-code:3b,user_goal_v4_scale_family,user_goal_v4,1,1,1.0,0.2857,,,Adjust Attendance,Adjust attendance
usecase_v1_0030,abdulwahid880__School-Management-system-in-laravel-,granite-code:3b,user_goal_v4_scale_family,user_goal_v4,0,0,0.2222,0.5161,,,Calculate marks for a course,Calculate and save grades
usecase_v1_0031,abdulwahid880__School-Management-system-in-laravel-,granite-code:3b,user_goal_v4_scale_family,user_goal_v4,0,0,0.4,0.3,,,View student grade,View grades
usecase_v1_0032,abdulwahid880__School-Management-system-in-laravel-,granite-code:3b,user_goal_v4_scale_family,user_goal_v4,0,0,0.0,0.1,,,Adjust attendance,Manage fees
usecase_v1_0033,abdulwahid880__School-Management-system-in-laravel-,granite-code:3b,user_goal_v4_scale_family,user_goal_v4,0,0,0.2857,0.3333,,,Manage Account Sectors,Manage income and expenses
usecase_v1_0034,abdulwahid880__School-Management-system-in-laravel-,granite-code:3b,user_goal_v4_scale_family,user_goal_v4,0,0,0.0,0.2353,,,Create exam,Manage exams
usecase_v1_0035,abdulwahid880__School-Management-system-in-laravel-,granite-code:3b,user_goal_v4_scale_family,user_goal_v4,0,0,0.0,0.0,Expecting property name enclosed in double quotes: line 2 column 5 (char 6),,,Manage academic content
usecase_v1_0036,abdulwahid880__School-Management-system-in-laravel-,granite-code:3b,user_goal_v4_scale_family,user_goal_v4,0,0,0.8,0.1667,,,Manage books,Manage library books
usecase_v1_0037,abdulwahid880__School-Management-system-in-laravel-,granite-code:3b,user_goal_v4_scale_family,user_goal_v4,0,0,0.6667,0.3158,,,Issue books,Issue and return books
usecase_v1_0038,abdulwahid880__School-Management-system-in-laravel-,granite-code:3b,user_goal_v4_scale_family,user_goal_v4,0,0,0.0,0.0,,,Create/Add/Register/Save student,Import and export users
usecase_v1_0039,4jean__lav_sms,granite-code:3b,user_goal_v4_scale_family,user_goal_v4,0,0,0.2222,0.0,,,Create/Add/Register/Save student record,Manage student records
usecase_v1_0040,4jean__lav_sms,granite-code:3b,user_goal_v4_scale_family,user_goal_v4,0,0,0.5,0.5185,,, students.promotion,Promote students
usecase_v1_0041,4jean__lav_sms,granite-code:3b,user_goal_v4_scale_family,user_goal_v4,0,0,0.0,0.3478,,,Timetables,Manage timetable
usecase_v1_0042,4jean__lav_sms,granite-code:3b,user_goal_v4_scale_family,user_goal_v4,0,0,0.0,0.4444,,,Payment Management,Manage payments
usecase_v1_0043,4jean__lav_sms,granite-code:3b,user_goal_v4_scale_family,user_goal_v4,0,0,0.8,0.25,,,Manage student marks,Manage marks
usecase_v1_0044,4jean__lav_sms,granite-code:3b,user_goal_v4_scale_family,user_goal_v4,0,0,0.0,0.0833,,,Marking System,View and print marksheet
usecase_v1_0045,4jean__lav_sms,granite-code:3b,user_goal_v4_scale_family,user_goal_v4,0,0,0.0,0.087,,,Marking System,Generate tabulation sheet
usecase_v1_0046,4jean__lav_sms,granite-code:3b,user_goal_v4_scale_family,user_goal_v4,0,0,0.4,0.4444,,,Manage Classes,Manage academic structure
usecase_v1_0047,4jean__lav_sms,granite-code:3b,user_goal_v4_scale_family,user_goal_v4,0,0,0.5,0.2727,,,List children,View children
usecase_v1_0048,4jean__lav_sms,granite-code:3b,user_goal_v4_scale_family,user_goal_v4,0,0,0.0,0.1818,,,Edit profile,Update own account
usecase_v1_0049,4jean__lav_sms,granite-code:3b,user_goal_v4_scale_family,user_goal_v4,0,0,0.0,0.4,,,Pin Management,Generate and verify pins
usecase_v1_0050,openfun__marsha,granite-code:3b,user_goal_v4_scale_family,user_goal_v4,0,0,0.0,0.0,Expecting value: line 1 column 8 (char 7),,,Create video resource
