task_id,repository_folder,soft_name_match,soft_name_token_f1,pred_use_case_name,gold_use_case_name
usecase_v1_0000,jobic10__student-management-using-django,0,0.4,Add Staff Member,Manage staff
usecase_v1_0001,jobic10__student-management-using-django,0,0.5,Add Student,Manage students
usecase_v1_0002,jobic10__student-management-using-django,0,0.0,Add Course,Manage courses
usecase_v1_0003,jobic10__student-management-using-django,0,0.5,Add Subject,Manage subjects
usecase_v1_0004,jobic10__student-management-using-django,0,0.4,Add Session,Manage academic sessions
usecase_v1_0005,jobic10__student-management-using-django,1,1.0,Take Attendance for Students,Take student attendance
usecase_v1_0006,jobic10__student-management-using-django,1,0.8,Update Attendance,Update student attendance
usecase_v1_0007,jobic10__student-management-using-django,1,0.5714,Edit Student Result,Add or update student result
usecase_v1_0008,jobic10__student-management-using-django,1,1.0,Apply for Leave,Apply for leave
usecase_v1_0009,jobic10__student-management-using-django,1,0.6667,View Student Attendance Report,View attendance
usecase_v1_0010,jobic10__student-management-using-django,1,0.8,View Student Result,View result
usecase_v1_0011,jobic10__student-management-using-django,0,0.2857,View Student Leave Detail,Review leave applications
usecase_v1_0012,jobic10__student-management-using-django,0,0.3333,View Student Feedback Message,Reply to feedback
usecase_v1_0013,thakurpdhiraj__library_management_system,1,0.6667,Create Book,Add book and create inventory
usecase_v1_0014,thakurpdhiraj__library_management_system,0,0.3333,View Book Detail,Search and update books
usecase_v1_0015,thakurpdhiraj__library_management_system,1,0.8,Delete Books,Delete book or inventory
usecase_v1_0016,thakurpdhiraj__library_management_system,0,0.5,Create user,Manage users
usecase_v1_0017,thakurpdhiraj__library_management_system,1,0.6667,Place Order for Book,Order available book
usecase_v1_0018,thakurpdhiraj__library_management_system,1,0.6667,View My Orders Detail,View current orders
usecase_v1_0019,thakurpdhiraj__library_management_system,1,1.0,View My Order History,View order history
usecase_v1_0020,thakurpdhiraj__library_management_system,1,0.5714,Manage overdue orders for user,Filter overdue orders
usecase_v1_0021,thakurpdhiraj__library_management_system,0,0.5,Manage Orders,Search orders
usecase_v1_0022,thakurpdhiraj__library_management_system,1,1.0,Mark Order as Collected,Mark order as collected
